Year,Temperature,Uncertainty
1950,0.25,NA
1951,0.24,NA
1952,0.24,NA
1953,0.24,NA
1954,0.24,NA
1955,0.25,NA
1956,0.25,NA
1957,0.26,NA
1958,0.25,NA
1959,0.25,NA
1960,0.25,NA
1961,0.24,NA
1962,0.24,NA
1963,0.24,NA
1964,0.24,NA
1965,0.24,NA
1966,0.24,NA
1967,0.24,NA
1968,0.24,NA
1969,0.24,NA
1970,0.25,NA
1971,0.26,NA
1972,0.27,NA
1973,0.29,NA
1974,0.31,NA
1975,0.33,NA
1976,0.35,NA
1977,0.37,NA
1978,0.39,NA
1979,0.4,NA
1980,0.42,NA
1981,0.44,NA
1982,0.46,NA
1983,0.48,NA
1984,0.5,NA
1985,0.52,NA
1986,0.53,NA
1987,0.54,NA
1988,0.55,NA
1989,0.56,NA
1990,0.58,NA
1991,0.6,NA
1992,0.62,NA
1993,0.64,NA
1994,0.65,NA
1995,0.67,NA
1996,0.69,NA
1997,0.71,NA
1998,0.73,NA
1999,0.76,NA
2000,0.78,NA
2001,0.8,NA
2002,0.82,NA
2003,0.84,NA
2004,0.86,NA
2005,0.87,NA
2006,0.89,NA
2007,0.9,NA
2008,0.92,NA
2009,0.94,NA
2010,0.96,NA
2011,0.98,NA
2012,1.01,NA
2013,1.03,NA
2014,1.05,NA
2015,1.08,NA
2016,1.1,NA
2017,1.12,NA
2018,1.15,NA
2019,1.17,NA
2020,1.19,NA
2021,1.22,NA
2022,1.24,NA
